id,carat,cut,color,clarity,depth,table,x,y,z,price
144332,0.37,Premium,F,VS2,60.6,58.0,4.63,4.66,2.82,746
40185,1.23,Ideal,H,SI2,61.8,56.0,6.84,6.91,4.25,5139
123937,0.9,Very Good,G,SI1,62.8,61.0,6.1,6.07,3.83,3967
165254,0.41,Ideal,E,VS2,62.3,54.4,4.75,4.79,2.97,830
146513,1.51,Ideal,E,SI1,62.2,57.0,7.36,7.42,4.58,12364
40052,1.03,Premium,H,SI2,61.9,59.0,6.45,6.49,4.01,4581
126375,2.04,Very Good,I,SI2,59.6,58.0,8.31,8.21,4.94,12381
153383,0.31,Ideal,E,SI1,61.4,55.0,4.34,4.37,2.67,571
23837,2.04,Premium,H,SI1,61.7,60.0,8.16,8.12,5.01,16733
84361,0.31,Premium,H,VS2,61.3,60.0,4.31,4.32,2.65,489
36234,1.01,Very Good,F,SI1,63.5,59.0,6.3,6.36,4.02,5088
73918,0.9,Very Good,D,SI1,62.9,57.0,6.11,6.15,3.86,4304
73665,0.32,Ideal,G,IF,61.9,54.0,4.38,4.42,2.73,918
1910,1.53,Ideal,I,VS2,61.9,56.0,7.37,7.44,4.57,9292
4000,1.04,Good,H,SI1,63.8,58.0,6.36,6.31,4.05,4604
95930,0.32,Very Good,G,VVS2,62.0,56.0,4.44,4.4,2.74,622
112525,1.52,Premium,F,VS2,62.8,54.0,7.31,7.38,4.62,15007
166835,0.7,Good,I,VVS2,63.6,57.0,5.58,5.61,3.56,2590
136698,1.22,Premium,G,VVS1,61.7,58.0,6.88,6.84,4.23,10304
129812,1.68,Ideal,I,VVS2,61.7,55.0,7.67,7.63,4.73,11205
48914,0.7,Very Good,G,VS2,60.6,61.0,5.67,5.72,3.45,2564
65019,1.06,Ideal,I,VS2,62.0,56.0,6.5,6.54,4.04,4530
192489,1.01,Premium,I,SI2,61.1,59.0,6.43,6.37,3.91,3457
71018,0.34,Ideal,H,IF,62.6,57.0,4.48,4.46,2.8,1013
175996,2.02,Ideal,G,SI2,62.8,56.0,8.07,8.02,5.05,15312
31649,0.43,Ideal,I,VS2,62.2,54.0,4.87,4.9,3.05,716
26221,0.71,Ideal,H,SI1,62.0,55.0,5.71,5.76,3.56,2345
129562,1.01,Good,I,SI1,63.8,56.0,6.37,6.34,4.06,4425
46298,0.34,Ideal,D,SI1,61.5,55.0,4.51,4.54,2.78,626
304,0.55,Ideal,E,VS2,62.2,56.0,5.23,5.25,3.26,1819
79537,1.14,Premium,H,SI1,62.3,58.0,6.69,6.66,4.16,5273
23873,1.09,Ideal,I,VS1,62.0,55.0,6.64,6.6,4.12,5445
93641,2.02,Very Good,H,SI2,59.9,59.0,8.21,8.29,4.94,17805
77768,0.31,Ideal,D,SI1,61.6,56.0,4.37,4.39,2.7,626
105491,0.7,Good,G,VVS2,63.9,60.0,5.61,5.57,3.57,2681
110194,0.5,Very Good,E,SI1,63.2,59.0,5.06,5.02,3.18,1338
46361,0.71,Ideal,J,SI2,61.0,55.0,5.75,5.81,3.53,1917
130508,0.43,Ideal,H,VVS1,62.5,55.0,4.85,4.88,3.04,1161
126243,0.51,Very Good,F,VS2,62.6,54.0,5.1,5.13,3.2,1406
68039,0.74,Ideal,D,SI1,62.7,55.0,5.77,5.79,3.62,3217
36777,0.4,Ideal,G,SI1,61.9,53.0,4.74,4.77,2.95,702
109649,1.2,Premium,J,VS1,60.2,59.0,6.91,6.84,4.14,4242
158325,0.35,Ideal,D,VS2,60.5,57.0,4.58,4.53,2.75,1063
127611,0.79,Premium,H,SI1,62.2,57.0,5.9,5.94,3.69,2588
